MH,FITNESS
WSO,12160.0
WSO,208.0
WSO,173.0
WSO,407.0
WSO,339.0
WSO,455.0
WSO,-469.0
WOA,449.0
WOA,449.0
WOA,443.0
SCA,449.0
SCA,449.0
SCA,448.0
PSA,448.0
PSA,449.0
PSA,448.0
GWO,449.0
GWO,449.0
GWO,448.0
