iter,fitness,time,XPL,XPT,DIV
0,98412.0,0.082,100.0,0.0,0.475
1,42827.0,0.766,48.21,51.79,0.229
2,15893.0,0.753,20.84,79.16,0.099
3,5881.0,0.846,8.21,91.79,0.039
4,2218.0,4.031,4.0,96.0,0.019
5,677.0,8.137,2.32,97.68,0.011
6,207.0,7.082,1.26,98.74,0.006
7,68.0,7.275,0.63,99.37,0.003
8,63.0,6.585,0.42,99.58,0.002
9,63.0,7.71,0.63,99.37,0.003
10,63.0,7.202,0.42,99.58,0.002
