iter,fitness,time,XPL,XPT,DIV
0,99321.0,0.103,100.0,0.0,0.475
1,33522.0,0.398,48.84,51.16,0.232
2,2884.0,0.912,5.68,94.32,0.027
3,440.0,4.985,2.32,97.68,0.011
4,135.0,4.727,1.05,98.95,0.005
